,Title,Published_date,Views,Comment,Month,Year
74,THE FRUIT OF THE SPIRIT (JOY) || PST. INNOCENT ELEKE,2023-06-15,55,0,Jun,2023
75,THE FRUIT OF THE SPIRIT JOY || PST. INNOCENT ELEKE,2023-06-14,43,0,Jun,2023
76,THE RAIN OF LIGHT || PST. INNOCENT ELEKE,2023-06-11,113,1,Jun,2023
77,"THE RAIN OF FAVOUR  || BRO. CHARLES OLUCHUKWU || 10TH JUNE, 2023",2023-06-10,51,0,Jun,2023
78,"THE FRUIT OF THE SPIRIT || 7TH JUNE, 2023",2023-06-08,71,0,Jun,2023
79,SUNDAY SERVICE || 4TH JUNE 2023,2023-06-04,112,0,Jun,2023
80,STRONG AND LOVELY 2023 || DAY 4 || EVENING SESSION,2023-06-04,183,0,Jun,2023
81,STRONG AND LOVELY 2023 || DAY 4,2023-06-03,195,2,Jun,2023
82,STRONG AND LOVELY 2023 || DAY 3,2023-06-03,247,0,Jun,2023
83,STRONG AND LOVELY 2023,2023-06-02,216,0,Jun,2023
84,STRONG AND LOVELY 2023,2023-06-01,245,2,Jun,2023
85,RAIN FOR THE REMNANTS || PST. INNOCENT ELEKE,2023-05-28,105,0,May,2023
86,RAIN FOR THE REMNANTS || PST. INNOCENT ELEKE,2023-05-28,38,0,May,2023
87,PRE-CONFERENCE PRAYER || 24TH MAY 2023,2023-05-25,42,0,May,2023
88,RAIN OF DELIVERANCE || 21ST MAY 2023,2023-05-21,62,1,May,2023
89,PRAYER MEETING || 20TH MAY 2023,2023-05-20,35,0,May,2023
90,FRUITS OF THE SPIRIT  || BRO. IKENNA NWOKOLO,2023-05-18,36,0,May,2023
91,"STRIFE, A HINDERANCE TO RAIN  || DR. MRS. NNENNA ELEKE",2023-05-14,64,0,May,2023
92,THE RAIN OF THE SPIRIT 2 || DR.  IYKE UGWUOKE,2023-05-13,59,0,May,2023
93,HINDERANCES TO RAIN || PST. CHINWEIKE UGWU,2023-05-11,64,0,May,2023
94,PREREQUISITES FOR THE RAIN  || PST. INNOCENT ELEKE,2023-05-07,100,0,May,2023
95,ASK FOR THE RAN || PST. INNOCENT ELEKE,2023-05-06,45,0,May,2023
96,RAIN OF THE SPIRIT || PST. INNOCENT ELEKE,2023-05-04,70,0,May,2023
97,MASTERY THROUGH PRAYER || PST. INNOCENT ELEKE,2023-04-30,123,0,Apr,2023
98,MASTERY OVER SEXUAL SIN 3 (CONSEQUENCES OF PERVERSION) || PST. INNOCENT ELEKE,2023-04-27,54,0,Apr,2023
99,DEALING WITH CHILDHOOD ISSUES || PST. CHINWEIKE UGWU,2023-04-22,85,0,Apr,2023
100,THE FATHERHOOD OF GOD || Pastor Innocent Eleke #Shorts #jesusonly #christianyoutube,2023-04-21,916,1,Apr,2023
101,DEALING WITH YOUR THOUGHTS || Pastor Innocent Eleke #Shorts #temptations #jesusonly,2023-04-21,455,0,Apr,2023
102,MASTERY OVER SEXUAL SIN 2 || PST. INNOCENT ELEKE,2023-04-20,104,1,Apr,2023
103,MASTERY OVER YOUR BODY || PST. INNOCENT ELEKE,2023-04-16,100,0,Apr,2023
104,I WILL CALL UPON THE LORD || PST. INNOCENT ELEKE,2023-04-15,66,0,Apr,2023
105,FOR EVERY CHRISTIAN STUDENT || Pastor Innocent Eleke #jesusonly,2023-04-13,198,0,Apr,2023
106,MASTERY OVER SEXUAL SIN || DR. MRS. NNENNA ELENDU-ELEKE,2023-04-13,196,2,Apr,2023
107,OVERCOMING EXAM MALPRACTICES || Pastor Innocent Eleke #jesusonly #Shorts,2023-04-12,139,1,Apr,2023
108,GAINING MASTERY OVER SIN || Pastor Innocent Eleke #jesusonly #christianyoutube #OvercomingSin,2023-04-12,185,1,Apr,2023
109,EASTER SUNDAY || PST. INNOCENT ELEKE,2023-04-09,97,0,Apr,2023
110,ALTAR FOR FRESH ENCOUNTER || PST. INNOCENT ELEKE,2023-04-08,62,0,Apr,2023
111,EASTER WEEKEND || PST. INNOCENT ELEKE,2023-04-07,46,0,Apr,2023
112,MASTERY OVER SIN || PST. INNOCENT ELEKE,2023-04-06,81,0,Apr,2023
113,WISDOM SERIES || WISDOM FOR MASTERY || PST. INNOCENT ELEKE,2023-04-02,92,0,Apr,2023
114,PRAYER MEETING || PST. CHINWEIKE UGWU,2023-04-01,61,0,Apr,2023
115,SPEAKING GOD'S WORD || PST. INNOCENT ELEKE,2023-03-30,51,0,Mar,2023
116,WISDOM SERIES || WISDOM TO BREAK FROM THE CONVENTIONAL || PST. INNOCENT ELEKE,2023-03-26,96,0,Mar,2023
117,PRAYER MEETING,2023-03-25,58,0,Mar,2023
118,MID WEEK SERVICE || THE VOICE OF HIS WORD,2023-03-23,43,0,Mar,2023
119,WISDOM SERIES || WISDOM AND SKILLS || BRO. JAPHET JOHN,2023-03-19,78,1,Mar,2023
120,MID WEEK SERVICE || THE SUPREMACY OF GOD'S WORD || PST. INNOCENT ELEKE,2023-03-16,59,0,Mar,2023
121,"WISDOM IS THE SECRET || PST. INNOCENT ELEKE || 12TH MARCH, 2023",2023-03-12,92,1,Mar,2023
122,"PRAYER MEETING || PST. INNOCENT ELEKE || 11TH MARCH, 2023",2023-03-11,37,0,Mar,2023
123,WISDOM SERIES || DEFICIENCY OF WISDOM || PST. INNOCENT ELEKE,2023-03-11,33,0,Mar,2023
124,"MID WEEK SERVICE || THE SUPREMACY OF GOD'S WORD || 8TH MARCH, 2023",2023-03-09,37,0,Mar,2023
125,SUNDAY SERVICE || WISDOM IS THE PRINCIPAL THING || BRO. SAMUEL LEKWA,2023-03-05,81,0,Mar,2023
126,PRAYER MEETING || GET WISDOM  || PST. INNOCENT ELEKE,2023-03-04,41,0,Mar,2023
127,MID WEEK SERVICE || THE WORD IS GOD,2023-03-02,38,0,Mar,2023
128,SUNDAY SERVICE || ALL ROUND GOODNESS || PST. INNOCENT ELEKE,2023-02-26,77,0,Feb,2023
129,Every Christian should vote || Pastor Innocent Eleke #shorts #2023elections #JesusOnly,2023-02-24,115,0,Feb,2023
130,AFRICAN YOUTHS SHOULD GET READY || Pastor Innocent Eleke #shorts #2023election #jesusonly,2023-02-24,272,0,Feb,2023
131,HOW TO DETERMINE THE PLACE OF GOD IN YOUR HEART|| Pastor Innocent Eleke #shorts #jesusonly,2023-02-24,53,2,Feb,2023
132,MID WEEK SERVICE || BELIEVING GOD'S WORD 2,2023-02-23,55,0,Feb,2023
133,THE GOODNESS OF THE LORD || PST. INNOCENT ELEKE,2023-02-19,84,0,Feb,2023
134,ENGAGING GOD'S WORD || PST. INNOCENT ELEKE,2023-02-18,40,0,Feb,2023
135,REASON FOR DIVORCE IN CHRISTIAN HOMES || Pastor Innocent Eleke #shorts #jesusonly #christian,2023-02-18,285,0,Feb,2023
136,"BELIEVING GOD'S WORD || 15TH FEB, 2023",2023-02-16,43,0,Feb,2023
137,HANDLING YOUR FEELINGS || DR. MRS. NNENNA ELEKE,2023-02-15,227,0,Feb,2023
138,GOD'S GOODNESS IN OUR ACADEMICS AND CAREERS || DR. KINGSLEY UDEGBUNAM,2023-02-12,67,0,Feb,2023
139,"THANKSGIVING PRAYER || 11TH FEB, 2023",2023-02-11,84,0,Feb,2023
140,WHAT IS YOUR CONTRIBUTION TO GOD'S HOUSE? || Pastor Innocent Eleke #shorts #jesusonly #PGMI,2023-02-10,174,0,Feb,2023
141,THE WORD OF GOD 1 || BRO. SAM LEKWA,2023-02-09,48,0,Feb,2023
142,GOD'S GOODNESS || DR. MRS. NNENNA ELEKE,2023-02-05,82,0,Feb,2023
143,SUNDAY SERVICE || PST. INNOCENT ELEKE,2023-01-29,92,0,Jan,2023
144,THE GRACE FOR SERVING GOD || FULL SERMON || Pastor Innocent Eleke,2023-01-29,89,0,Jan,2023
145,WHEN THE KING SPEAKS (DAY 21)  || COMMUNION SERVICE || PST. INNOCENT ELEKE,2023-01-29,101,0,Jan,2023
146,WHEN THE KING SPEAKS (DAY 21)  || ENGR. MIKE OBIKA,2023-01-28,103,0,Jan,2023
147,WHEN THE KING SPEAKS (DAY 20)  || ENGR. MIKE OBIKA,2023-01-28,178,0,Jan,2023
148,HOW TO KNOW IF YOU ARE A HYPOCRITE IN CHURCH || Pastor Innocent Eleke #shorts #ctv2023 #jesusonly,2023-01-27,212,2,Jan,2023
149,BELIEVE GOD IN 2023 || Pastor Innocent Eleke,2023-01-27,34,1,Jan,2023
150,THE DIFFERENCE BETWEEN THE HOUSE OF PRAYER AND A PRAYER HOUSE 🏘️ || Pastor Innocent Eleke   #shorts,2023-01-27,153,0,Jan,2023
151,WHEN THE KING SPEAKS (DAY 19)  || PST. INNOCENT ELEKE,2023-01-27,90,0,Jan,2023
152,WHEN THE KING SPEAKS (DAY 18)  || PST. INNOCENT ELEKE,2023-01-26,76,1,Jan,2023
153,WHEN THE KING SPEAKS (DAY 17)  || PST. INNOCENT ELEKE,2023-01-25,75,0,Jan,2023
154,WHEN THE KING SPEAKS (DAY 16)  || PST. INNOCENT ELEKE,2023-01-23,38,0,Jan,2023
155,THE HEARING EAR || BRO. IKENNA NWOKOLO,2023-01-23,61,0,Jan,2023
156,GRACE FOR ACADEMIC EXCELLENCE || SIS. JULIET NWOKOLO,2023-01-22,77,0,Jan,2023
157,WHEN THE KING SPEAKS (DAY 14)  || PST. INNOCENT ELEKE,2023-01-22,95,0,Jan,2023
158,A MESSAGE TO THE CHURCHES IN NIGERIA || Pastor Innocent Eleke,2023-01-22,42,0,Jan,2023
159,DO YOU HAVE THIS KIND OF HEART?? || Pastor Innocent Eleke #shorts #ctv2023 #jesusonly,2023-01-21,102,0,Jan,2023
160,WHEN THE KING SPEAKS (DAY 13)  || BRO. CHINWEIKE UGWU,2023-01-21,68,0,Jan,2023
161,WHEN THE KING SPEAKS (DAY 12)  || DR. MRS. NNENNA ELEKE,2023-01-20,39,0,Jan,2023
162,WHEN THE KING SPEAKS (DAY 11)  || PST. INNOCENT ELEKE,2023-01-19,85,0,Jan,2023
163,WHEN THE KING SPEAKS (DAY 10)  || CHANGING THE VERDICT 2023 || PST. INNOCENT ELEKE,2023-01-18,81,0,Jan,2023
164,WHEN THE KING SPEAKS (DAY 9)  || CHANGING THE VERDICT 2023 || PST. INNOCENT ELEKE,2023-01-17,87,0,Jan,2023
165,THIS IS HOW PEOPLE DENY YOU YOUR PROPHETIC MINISTRY || Pastor Innocent Eleke,2023-01-16,431,0,Jan,2023
166,WHEN THE KING SPEAKS (DAY8)  || CHANGING THE VERDICT 2023 || PST. INNOCENT ELEKE,2023-01-16,112,0,Jan,2023
167,TOOLS FOR YOUR JOURNEY IN 2023 || PST. INNOCENT ELEKE,2023-01-15,78,0,Jan,2023
168,WHEN THE KING SPEAKS (DAY 7)  || CHANGING THE VERDICT 2023 || DR. MRS. NNENNA ELEKE,2023-01-15,62,0,Jan,2023
169,WHEN THE KING SPEAKS (DAY 6)  || CHANGING THE VERDICT 2023 || PST. INNOCENT ELEKE,2023-01-14,84,0,Jan,2023
170,WHEN THE KING SPEAKS (DAY 5)  || CHANGING THE VERDICT 2023 || PST. INNOCENT ELEKE,2023-01-13,91,0,Jan,2023
171,WHEN THE KING SPEAKS DAY 4 (DIVINE DIRECTION) || PST. INNOCENT ELEKE,2023-01-12,93,0,Jan,2023
172,WHEN THE KING SPEAKS (DAY 3)  || CHANGING THE VERDICT 2023 || PST. INNOCENT ELEKE,2023-01-11,85,0,Jan,2023
173,WHEN THE KING SPEAKS (DAY 2)  || CHANGING THE VERDICT 2023 || PST. INNOCENT ELEKE,2023-01-10,64,1,Jan,2023
174,WHEN THE KING SPEAKS (DAY 1)  || CHANGING THE VERDICT 2023 || PST. INNOCENT ELEKE,2023-01-09,105,0,Jan,2023
175,"SUNDAY SERVICE || 8TH JAN, 2022",2023-01-08,86,0,Jan,2023
176,CROSS OVER SERVICE | SAT. 31ST DEC. 2022,2023-01-01,192,0,Jan,2023
177,CHRISTMAS SERVICE | SUN. 25TH DEC. 2022,2022-12-25,53,0,Dec,2022
178,A REFLECTION ON JESUS || DR. MRS. NNENNA ELEKE,2022-12-22,31,0,Dec,2022
179,HIM || PST. INNOCENT ELEKE,2022-12-18,64,0,Dec,2022
180,"CHRISTMAS CAROL  ( THE GOD WHO LOOKS FOR MAN) || 14TH DEC, 2022",2022-12-14,84,0,Dec,2022
181,SUNDAY SERVICE || 11 DEC. 2022,2022-12-11,47,0,Dec,2022
182,SUNDAY SERVICE || 11 DEC. 2022,2022-12-11,29,0,Dec,2022
183,"SETTING NEW STANDARDS  || 9TH DEC, 2022",2022-12-10,44,0,Dec,2022
184,A PRAISE ON THE EARTH || PST. INNOCENT ELEKE,2022-12-08,63,0,Dec,2022
185,TIMES AND SEASONS || Pastor Innocent Eleke,2022-12-05,55,0,Dec,2022
186,"SUNDAY SERVICE || 4th DEC, 2022",2022-12-04,74,0,Dec,2022
187,"PRAYER MEETING || 3RD DEC, 2022",2022-12-03,36,0,Dec,2022
188,UNDERSTANDING THRONES 4 - RIGHTEOUS THRONES || Bro. Chinweike Ugwu,2022-11-24,26,0,Nov,2022
189,NOW THE KING IS BACK || PST INNOCENT ELEKE,2022-11-20,88,0,Nov,2022
190,PRAYER MEETING 19TH NOV. 2022,2022-11-19,57,0,Nov,2022
191,UNDERSTANDING THRONES 3 || PST. INNOCENT ELEKE,2022-11-17,52,0,Nov,2022
192,ENTHRONING THE KING || PST INNOCENT ELEKE,2022-11-13,114,0,Nov,2022
193,DETHRONING THE ENEMIES IN THE LAND || BRO. CHINWEIKE UGWU,2022-11-12,43,0,Nov,2022
194,UNDERSTANDING THRONES 2 || PST. INNOCENT ELEKE,2022-11-10,62,0,Nov,2022
195,ENTHRONING GOD IN YOUR LIFE AND ACADEMICS - DR. KINGSLEY UDEGBUNAM,2022-11-06,131,0,Nov,2022
196,DETHORNING ENEMIES OF YOUR LIFE AND YOUR FAILY || BRO SAMUEL LEKWA,2022-11-05,118,0,Nov,2022
197,UNDERSTANDING THRONES || BRO. IKENNA NWOKOLO,2022-11-03,66,0,Nov,2022
198,BACK TO SOURCE || PST INNOCENT ELEKE,2022-10-30,219,1,Oct,2022
199,BIBLICAL GIVING 2 || PST INNOCENT ELEKE,2022-10-27,95,0,Oct,2022
200,GIVING || PST INNOCENT ELEKE,2022-10-23,296,1,Oct,2022
201,THREE KEYS TO BINDING AND LOSING || BRO. SAMUEL LEKWA,2022-10-22,58,0,Oct,2022
202,GREAT GRACE UPON ALL BY PST. INNOCENT ELEKE,2022-10-20,50,0,Oct,2022
203,LEST YOU SAY MADE ME RICH || DR TOCHUKWU ANAGOR,2022-10-16,108,0,Oct,2022
204,BINDING AND LOSING 2 || PST INNOCENT ELEKE,2022-10-15,36,0,Oct,2022
205,Accessing Things by the Spirit || Pst. Innocent Eleke,2022-10-13,56,0,Oct,2022
206,SPREADING THE GOSPEL || PST INNOCENT ELEKE,2022-10-09,97,0,Oct,2022
207,BINDING and LOSING || MR NNAEMEKA EZE,2022-10-08,48,0,Oct,2022
208,"Listen, SPIRITUALITY IS HARD WORK || Pastor Innocent Eleke. #church #shorts #JesusOnly",2022-10-07,135,0,Oct,2022
209,SOURCE and SPREAD || PST INNOCENT ELEKE,2022-10-02,91,0,Oct,2022
210,TOTAL ERADICATION by FIRE,2022-10-01,141,0,Oct,2022
211,FANNING YOUR GIFTS TO FLAME || PST INNOCENT ELEKE,2022-09-29,47,0,Sep,2022
212,SEPARATION BY FIRE || PST. INNOCENT ELEKE,2022-09-25,57,0,Sep,2022
213,POWER IN THE BLOOD || DR KINGSLEY UDEGBUNAM,2022-09-24,48,0,Sep,2022
214,MAINTAINING THE FIRE 3,2022-09-22,50,0,Sep,2022
215,THE NEED FOR FIRE BY  PST. INNOCENT ELEKE,2022-09-18,104,0,Sep,2022
216,RULING BY DECREES || PST DR MRS NNENNA ELEKE,2022-09-17,36,0,Sep,2022
217,MAINTAINING THE FIRE 2 _ REV INNOCENT ELEKE,2022-09-15,60,0,Sep,2022
218,LET THE FIRE FALL || EVANG MARTINS WANGERA,2022-09-11,57,0,Sep,2022
219,DEFEATING EVERY NEGATIVE FORCES || BRO NNAEMEKA EZE,2022-09-10,44,0,Sep,2022
220,MAINTAINING THE FIRE || 07 SEPT. 2022,2022-09-08,80,0,Sep,2022
221,LIVING SACRIFICE || MR NNAEMEKA EZE,2022-09-04,70,0,Sep,2022
222,RULING AMIDST YOUR ENEMIES || 03 SEPT. 2022,2022-09-03,35,0,Sep,2022
223,"JESUS IS OUR ADVOCATE, BUT LISTEN TO THIS || Pastor Innocent Eleke",2022-08-30,35,0,Aug,2022
224,START ASKING GOD FOR BIG THINGS || Pastor Innocent Eleke #shorts  #church #JesusOnly,2022-08-30,105,0,Aug,2022
225,ENLARGING GOD'S KINGDOM - PST INNONCENT ELEKE,2022-08-28,137,1,Aug,2022
226,PRAYER OF JABEZ 4 || PRAYER MEETING || 27TH AUGUST 2022,2022-08-27,51,0,Aug,2022
227,HOLY SPIRIT THE ENLARGER - PST INNOCENT ELEKE,2022-08-25,66,0,Aug,2022
228,REIGNING BY ABUNDANCE OF GRACE - PST. INNOCENT ELEKE || CELEBRATING OUR 4 YEARS ANNIVERSARY,2022-08-21,107,0,Aug,2022
229,PRAYER OF JABEZ 3 - PST. INNOCENT ELEKE,2022-08-20,70,0,Aug,2022
230,"RENEWING YOUR MIND - BRO. SAMUEL LEKWA || MID WEEK SERVICE || WED. 17TH AUGUST, 2022",2022-08-18,34,0,Aug,2022
231,YOU NEED TO UNDERSTAND YOUR TEMPTATION || Pastor Innocent Eleke #shorts #temptation #jesusonly,2022-08-17,244,0,Aug,2022
232,WHY YOU SHOULD FEAR WOMEN || Pastor Innocent Eleke #shorts #familylife #wife #jesusonly,2022-08-15,106,2,Aug,2022
233,"IF YOU ARE A LEADER, LISTEN TO THIS || Pastor Innocent Eleke #shorts #church #leadership #jesusonly",2022-08-15,896,0,Aug,2022
234,INCREASE YOUR WORD INTAKE || DR. MRS. NNENNA ELEKE,2022-08-14,99,0,Aug,2022
235,PRAYER JABEZ 2 || BRO. SAMUEL LEKWA,2022-08-13,44,0,Aug,2022
236,HEAR WHAT SHOULD INCREASE IN YOUR LIFE || Pastor Innocent Eleke,2022-08-13,29,2,Aug,2022
237,OPERATING ON THE WORD OF GOD || Pastor Innocent Eleke #shorts #church #jesusonly,2022-08-13,149,0,Aug,2022
238,THIS IS WHY THE CHURCH CANNOT DIE || Pastor Innocent Eleke #shorts #thebodyofchrist #jesusonly,2022-08-11,85,0,Aug,2022
239,ENLARGED MENTALITY || DR. KINGSLEY UDEGBUNAM,2022-08-07,83,0,Aug,2022
240,SET NO WORTHLESS THING BEFORE YOU || Pastor Innocent Eleke,2022-08-07,90,4,Aug,2022
241,FOREX IN CHURCH || Pastor Innocent Eleke #shorts #jesusonly,2022-08-06,232,2,Aug,2022
242,PRAYER OF JABEZ || BRO. CHINWEIKE UGWU,2022-08-06,53,0,Aug,2022
243,DON'T DO THIS IN CHURCH || Pastor Innocent Eleke,2022-08-05,72,0,Aug,2022
244,GOD'S MANDATE FOR ENLARGEMENT || PST. INNOCENT ELEKE,2022-08-04,58,0,Aug,2022
